ID,Current URL
1,https://www.bbc.com/news/world/europe
2,https://www.efta.int/eea
3,https://www.bbc.com/
4,https://www.bbc.com/news/articles/cdjyjlkewr2o
5,https://en.wikipedia.org/wiki/Main_Page
6,https://www.esa.int/
7,https://sco.wikipedia.org/wiki/Europe
8,https://www.bbc.com/news/articles/cvgeyy32lpgo
9,https://data.europa.eu/en
10,https://ec.europa.eu/eurostat
11,https://www.ecb.europa.eu/home/html/index.en.html
12,https://data.worldbank.org/region/europe-and-central-asia
13,https://european-union.europa.eu/index_en
14,https://www.europarl.europa.eu/portal/en
15,https://www.bbc.com/news/articles/cy0ylgjew1xo
16,https://www.ecb.europa.eu/mopo/html/index.en.html
17,https://www.bbc.com/news/articles/c99pvmxg0e3o
18,https://www.bbc.com/news/articles/cvgql020y5lo
19,https://www.ecb.europa.eu/euro/digital_euro/html/index.en.html
20,https://en.wikipedia.org/wiki/Europe
21,https://en.wikipedia.org/w/index.php?title=Europe&oldid=1283666347
22,https://www.bbc.com/sport/football/live/c5ymy34r1mzt
23,https://www.ecb.europa.eu/paym/html/index.en.html
24,https://www.bbc.com/news/articles/cqj4rg1kd52o
25,https://my.wikipedia.org/wiki/%E1%80%97%E1%80%9F%E1%80%AD%E1%80%AF%E1%80%85%E1%80%AC%E1%80%99%E1%80%BB%E1%80%80%E1%80%BA%E1%80%94%E1%80%BE%E1%80%AC
26,https://www.bbc.com/news/articles/cp8je3l5n1wo
27,https://mk.wikipedia.org/wiki/%D0%93%D0%BB%D0%B0%D0%B2%D0%BD%D0%B0_%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B8%D1%86%D0%B0
28,https://www.ecb.europa.eu/mopo/market-contact-groups/iid/html/index.en.html
29,https://en.wikipedia.org/wiki/Ob_River
30,https://www.bbc.com/news/articles/c36718p52eyo
31,https://en.wikipedia.org/wiki/Franks
32,https://en.wikipedia.org/wiki/Greek_Cypriot_diaspora
33,https://en.wikipedia.org/wiki/Economy_of_Europe
34,https://en.wikipedia.org/wiki/Demographics_of_Cyprus
35,https://en.wikipedia.org/wiki/Bulgarian_diaspora
36,https://en.wikipedia.org/wiki/Corded_Ware
37,https://en.wikipedia.org/wiki/Bosnian_diaspora
38,https://en.wikipedia.org/wiki/Decline_of_the_Roman_Empire
39,https://www.bbc.com/news/videos/cjwvdwy86v1o
40,https://en.wikipedia.org/wiki/Aromanian_diaspora
41,https://en.wikipedia.org/wiki/Emigration_from_Kosovo
42,https://www.bbc.com/news/articles/c807lm2003zo
43,https://www.bbc.com/news/articles/cx27lg8vp41o
44,https://en.wikipedia.org/wiki/Swedish_diaspora
45,https://en.wikipedia.org/wiki/Albanian_diaspora
46,https://en.wikipedia.org/wiki/Norwegian_diaspora
47,https://www.bbc.com/sport/football/articles/cn91xgqz840o
48,https://en.m.wikipedia.org/wiki/Fall_of_the_Western_Roman_Empire
49,https://en.wikipedia.org/wiki/Lithuanians
50,https://web.archive.org/web/20160115234904/http://museumvictoria.com.au/immigrationmuseum/whatson/past-exhibitions/kurbet/recent-arrivals/
51,https://www.bbc.com/news/articles/c3wxq8nw89qo
52,https://www.bbc.com/news/articles/cx208nn4v3jo
53,https://en.wikipedia.org/wiki/Surgut_Bridge
54,https://en.wikipedia.org/wiki/Freedom_of_speech
55,https://en.wikipedia.org/w/index.php?title=Ob&action=edit&section=8
56,https://www.bbc.com/news/articles/cdjl3k1we8vo
57,https://en.wikipedia.org/wiki/Khanty-Mansiysk
58,https://en.wikipedia.org/wiki/Beryozovo
59,https://www.bbc.com/news/articles/c15v4j3dqk5o
60,https://www.bbc.com/weather
61,https://www.bbc.com/newsletters
62,https://ec.europa.eu/commission/presscorner/detail/en/ip_23_6804
63,https://en.wikipedia.org/wiki/Megion
64,https://www.bbc.com/news/articles/c0r5849kl0go
65,https://www.bbc.co.uk/contact/complaints/
66,https://www.bbc.com/live/sport
67,https://en.wikipedia.org/wiki/Langepas
68,https://www.bbc.com/news/articles/cr52g356l41o
69,https://www.bbc.co.uk/search?q=&d=BBCS_BBC
70,https://www.bbc.com/news/videos/cz9nxx82xvqo
71,https://www.bbc.com/news/articles/c8epkj3e4zno
72,https://www.bbc.com/sport/football/live/cdde4nppenqt
